"gene","ig_int","ig","km_x","hc","sc_a","pl_sc"
"102874_at",6,6,2,2,5,14
"98385_at",11,6,11,11,5,14
"96272_at",6,6,7,7,14,14
"160480_at",3,13,9,9,2,2
"94473_at",3,8,9,9,2,11
"96601_at",7,5,2,2,6,13
"101933_at",11,11,1,1,5,5
"92854_at",6,6,9,9,2,14
"98150_at",13,13,3,3,2,2
"95686_at",7,7,2,2,9,13
"104112_at",8,8,11,11,2,11
"94031_at",7,7,9,9,6,6
"161380_f_at",8,8,11,11,2,11
"94478_at",11,6,3,3,14,14
"94269_at",13,2,3,3,12,7
"101555_at",2,3,14,14,6,7
"96102_i_at",3,13,9,9,1,2
"103067_at",6,11,11,11,5,5
"160756_at",3,8,9,9,14,14
"98511_at",3,8,1,1,1,1
"101254_at",1,1,5,5,10,10
"98573_r_at",2,13,14,14,2,2
"96700_r_at",8,13,2,8,9,2
"104020_at",3,8,1,1,2,11
"96693_at",2,13,10,10,14,2
"102379_at",8,13,7,7,2,2
"92647_at",2,13,14,14,9,2
"94081_at",2,8,10,10,2,11
"96041_at",9,12,10,10,12,12
"93267_at",1,12,3,6,10,12
"92517_at",3,13,7,7,2,2
"95124_i_at",3,2,9,9,12,8
"160896_at",5,5,9,9,13,13
"93281_at",11,7,7,7,5,1
"96347_at",6,6,4,8,2,14
"103886_at",7,7,1,1,6,6
"160518_at",11,6,13,13,5,14
"101111_at",4,5,1,1,13,13
"101030_at",6,6,11,11,2,14
"162468_at",3,3,1,1,6,7
"104725_at",7,3,11,11,6,1
"104125_at",13,13,13,13,2,2
"96038_at",6,8,2,8,2,11
"96270_at",3,13,9,9,2,2
"96859_at",2,6,14,14,2,14
"160205_f_at",3,8,7,7,1,11
"93782_at",2,8,10,10,5,11
"160209_at",13,8,3,3,2,11
"100980_at",3,8,9,9,2,11
"98504_at",8,3,7,7,6,7
"96686_i_at",5,4,1,1,13,4
"98342_at",14,10,5,5,3,3
"100711_at",10,10,5,5,3,3
"101049_at",10,10,12,12,3,3
"102109_at",10,10,5,5,3,3
"99653_at",14,10,12,12,3,3
"93578_at",14,14,8,8,10,10
"97483_at",10,10,5,5,3,3
"96290_f_at",14,14,5,5,10,10
"92856_at",1,14,1,1,10,10
"93987_f_at",1,12,5,5,10,8
"161127_i_at",10,10,1,1,3,3
"101573_f_at",10,10,5,5,3,3
"100727_at",10,10,12,12,3,3
"94240_i_at",9,9,5,5,12,4
"100734_at",14,10,5,5,3,3
"98119_at",1,1,5,5,10,10
"96339_at",14,14,8,8,3,10
"160478_r_at",10,10,1,1,3,3
"96307_s_at",4,4,5,5,9,9
"93098_at",10,10,8,8,3,3
"93513_at",1,1,7,7,10,10
"92628_at",10,10,5,5,3,3
"160081_at",10,10,12,12,3,3
"92577_f_at",10,10,5,5,3,3
"93822_at",10,10,5,5,3,3
"99626_i_at",14,10,8,8,3,3
"94844_at",10,10,12,12,3,3
"100213_f_at",10,10,5,5,3,3
"101129_at",10,10,5,5,3,3
"96962_at",10,10,5,5,3,3
"97697_at",10,10,7,7,3,3
"96575_at",10,10,5,5,3,3
"101213_at",10,10,5,5,3,3
"100694_at",10,14,5,5,3,10
"94237_at",13,13,3,6,9,2
"94076_i_at",11,7,1,1,5,6
"99093_at",10,10,5,5,3,3
"94767_at",10,10,5,5,3,3
"102126_at",10,10,5,5,3,3
"99657_at",10,10,2,8,3,3
"100602_at",14,10,2,2,3,3
"93730_at",12,12,5,5,4,4
